variant,cluster_id,prompt_id,primary_mood,persona_id,warm,rotation,rank,tmdb_id,title,mood_coverage,evidence_source,runtime_satisfied,era_satisfied,duration_ms
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,9,1,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,92.996
"control","p003:cold_general","p003","emotional","cold_general",false,0,1,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,50.300
"control","p003:cold_general","p003","emotional","cold_general",false,1,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,63.953
"control","p003:cold_general","p003","emotional","cold_general",false,1,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,63.953
"control","p003:cold_general","p003","emotional","cold_general",false,1,3,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,63.953
"control","p003:cold_general","p003","emotional","cold_general",false,2,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,55.777
"control","p003:cold_general","p003","emotional","cold_general",false,2,2,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,55.777
"control","p003:cold_general","p003","emotional","cold_general",false,2,3,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,55.777
"control","p003:cold_general","p003","emotional","cold_general",false,3,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,48.462
"control","p003:cold_general","p003","emotional","cold_general",false,3,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,48.462
"control","p003:cold_general","p003","emotional","cold_general",false,4,1,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,52.792
"control","p003:cold_general","p003","emotional","cold_general",false,4,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,52.792
"control","p003:cold_general","p003","emotional","cold_general",false,4,3,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,52.792
"control","p003:cold_general","p003","emotional","cold_general",false,4,4,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,52.792
"control","p003:cold_general","p003","emotional","cold_general",false,5,1,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,58.399
"control","p003:cold_general","p003","emotional","cold_general",false,6,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,52.768
"control","p003:cold_general","p003","emotional","cold_general",false,6,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,52.768
"control","p003:cold_general","p003","emotional","cold_general",false,7,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,65.308
"control","p003:cold_general","p003","emotional","cold_general",false,7,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,65.308
"control","p003:cold_general","p003","emotional","cold_general",false,7,3,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,65.308
"control","p003:cold_general","p003","emotional","cold_general",false,9,1,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,55.546
"control","p003:cold_general","p003","emotional","cold_general",false,9,2,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,55.546
"control","p003:cold_general","p003","emotional","cold_general",false,9,3,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,55.546
"control","p003:cold_general","p003","emotional","cold_general",false,9,4,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,55.546
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,0,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,70.332
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,0,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,70.332
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,1,1,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,63.292
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,1,2,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,63.292
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,2,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,65.214
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,2,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,65.214
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,3,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,95.104
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,3,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,95.104
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,4,1,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,69.316
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,4,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,69.316
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,5,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,83.593
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,5,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,83.593
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,6,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,112.334
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,6,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,112.334
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,6,3,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,112.334
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,6,4,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,112.334
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,7,1,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,85.414
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,7,2,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,85.414
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,7,3,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,85.414
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,8,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,84.569
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,8,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,84.569
"control","p003:warm_thriller","p003","emotional","warm_thriller",true,8,3,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,84.569
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,0,1,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,88.592
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,0,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,88.592
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,1,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,90.492
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,1,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,90.492
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,1,3,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,90.492
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,1,4,2105,"American Pie",0.5000,KEYWORD_BACKED,false,true,90.492
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,2,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,99.704
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,2,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,99.704
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,2,3,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,99.704
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,3,1,863,"Toy Story 2",0.5000,KEYWORD_BACKED,false,true,87.629
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,3,2,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,87.629
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,3,3,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,87.629
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,3,4,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,87.629
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,4,1,863,"Toy Story 2",0.5000,KEYWORD_BACKED,false,true,88.424
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,4,2,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,88.424
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,4,3,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,88.424
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,4,4,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,88.424
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,5,1,863,"Toy Story 2",0.5000,KEYWORD_BACKED,false,true,104.493
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,5,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,104.493
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,5,3,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,104.493
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,5,4,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,104.493
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,5,5,2105,"American Pie",0.5000,KEYWORD_BACKED,false,true,104.493
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,6,1,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,82.508
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,7,1,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,80.033
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,8,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,79.721
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,8,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,79.721
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,8,3,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,79.721
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,9,1,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,78.453
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,9,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,78.453
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,9,3,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,78.453
"control","p003:warm_comfort","p003","emotional","warm_comfort",true,9,4,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,78.453
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,0,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,92.498
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,0,2,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,92.498
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,0,3,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,92.498
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,0,4,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,92.498
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,1,1,637,"Life Is Beautiful",0.5000,KEYWORD_BACKED,true,true,81.665
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,1,2,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,81.665
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,1,3,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,81.665
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,2,1,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,75.921
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,2,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,75.921
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,3,1,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,80.208
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,3,2,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,80.208
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,3,3,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,80.208
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,3,4,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,80.208
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,4,1,101,"Léon: The Professional",0.5000,KEYWORD_BACKED,true,true,77.553
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,4,2,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,77.553
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,4,3,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,77.553
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,4,4,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,77.553
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,5,1,2105,"American Pie",0.5000,KEYWORD_BACKED,false,true,88.679
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,6,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,78.797
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,6,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,78.797
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,6,3,13,"Forrest Gump",0.5000,KEYWORD_BACKED,false,true,78.797
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,7,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,78.044
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,7,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,78.044
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,8,1,745,"The Sixth Sense",0.5000,KEYWORD_BACKED,true,true,74.746
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,8,2,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,74.746
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,9,1,278,"The Shawshank Redemption",0.5000,KEYWORD_BACKED,false,true,71.256
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,9,2,603,"The Matrix",0.5000,KEYWORD_BACKED,false,true,71.256
"control","p003:warm_cerebral","p003","emotional","warm_cerebral",true,9,3,550,"Fight Club",0.5000,KEYWORD_BACKED,false,true,71.256
"control","p004:cold_general","p004","mind-bending","cold_general",false,5,1,12444,"Harry Potter and the Deathly Hallows: Part 1",1.0000,KEYWORD_BACKED,false,true,62.814
"control","p004:cold_general","p004","mind-bending","cold_general",false,8,1,12444,"Harry Potter and the Deathly Hallows: Part 1",1.0000,KEYWORD_BACKED,false,true,54.769
"control","p004:warm_thriller","p004","mind-bending","warm_thriller",true,6,1,12444,"Harry Potter and the Deathly Hallows: Part 1",1.0000,KEYWORD_BACKED,false,true,61.773
