variant,cluster_id,prompt_id,primary_mood,persona_id,warm,rotation,rank,tmdb_id,title,mood_coverage,evidence_source,runtime_satisfied,era_satisfied,duration_ms
"control","p007:cold_general","p007","funny","cold_general",false,5,3,214756,"Ted 2",0.5000,GENRE_ONLY,false,true,19.652
"control","p007:cold_general","p007","funny","cold_general",false,6,1,372058,"Your Name.",0.5000,GENRE_ONLY,false,true,20.215
"control","p007:cold_general","p007","funny","cold_general",false,6,2,269149,"Zootopia",0.5000,GENRE_ONLY,false,true,20.215
"control","p007:cold_general","p007","funny","cold_general",false,6,3,259694,"How to Be Single",0.5000,GENRE_ONLY,false,true,20.215
"control","p007:cold_general","p007","funny","cold_general",false,7,1,412117,"The Secret Life of Pets 2",0.5000,GENRE_ONLY,true,true,19.854
"control","p007:cold_general","p007","funny","cold_general",false,7,2,38757,"Tangled",0.5000,GENRE_ONLY,true,true,19.854
"control","p007:cold_general","p007","funny","cold_general",false,7,3,372058,"Your Name.",0.5000,GENRE_ONLY,false,true,19.854
"control","p007:cold_general","p007","funny","cold_general",false,7,4,105864,"The Good Dinosaur",0.5000,GENRE_ONLY,true,true,19.854
"control","p007:cold_general","p007","funny","cold_general",false,7,5,324857,"Spider-Man: Into the Spider-Verse",0.5000,GENRE_ONLY,false,true,19.854
"control","p007:cold_general","p007","funny","cold_general",false,8,1,20352,"Despicable Me",0.5000,GENRE_ONLY,true,true,20.764
"control","p007:cold_general","p007","funny","cold_general",false,8,2,214756,"Ted 2",0.5000,GENRE_ONLY,false,true,20.764
